id,fecha,modulo,descripcion,rol_usuario,sede
1022,7/22/2025,Imagenologia,Perdida de calidad en las imagenes al ser visualizadas desde la app,Medico,Guayaquil
1023,3/26/2025,HCE,El sistema se congela al adjuntar resultados de laboratorio a la HCE,Enfermeria,Quito
1024,2/22/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Medico,Quito
1025,11/22/2025,Imagenologia,El informe radiologico no se adjunta automaticamente a la HCE,Medico,Quito
1026,9/8/2025,Portal Citas,Filtro de especialidad medica no devuelve resultados,Admision,Cuenca
1027,2/23/2025,Reportes Gerenciales,El reporte de ocupacion hospitalaria no se actualiza automaticamente,Gerencia,Guayaquil
1028,9/29/2025,Farmacia,Alerta de vencimiento de lote no se muestra en el modulo,Enfermeria,Guayaquil
1029,5/15/2025,Portal Citas,Error al reagendar una cita previamente confirmada,Paciente,Cuenca
1030,4/26/2025,Facturacion,Factura generada con el nombre del paciente incorrecto,Admision,Guayaquil
1031,9/24/2025,Telemedicina,La sesion se cierra automaticamente antes de terminar la consulta,Paciente,Ambato
1032,4/11/2025,Facturacion,Reintento de transaccion genera doble cobro en la tarjeta,Admision,Manta
1033,4/24/2025,Farmacia,El sistema bloquea la dispensacion sin mostrar el motivo,Enfermeria,Guayaquil
1034,11/10/2025,HCE,Orden medica no se sincroniza con el modulo de farmacia,Enfermeria,Quito
1035,12/6/2025,App Movil,Consumo elevado de datos moviles al abrir el modulo de citas,Paciente,Manta
1036,4/3/2025,HCE,Consulta anterior no se muestra en el resumen de antecedentes,Enfermeria,Ambato
1037,7/26/2025,Facturacion,Reembolso aprobado no se refleja en el estado de cuenta,Paciente,Quito
1038,3/20/2025,Farmacia,Alerta de vencimiento de lote no se muestra en el modulo,Farmacia,Cuenca
1039,6/30/2025,Telemedicina,El chat de la consulta no permite enviar imagenes,Medico,Ambato
1040,3/14/2025,HCE,Consulta anterior no se muestra en el resumen de antecedentes,Medico,Quito
1041,4/20/2025,Facturacion,Factura generada con el nombre del paciente incorrecto,Admision,Ambato
1042,8/4/2025,Portal Citas,El sistema no envia la confirmacion por correo electronico,Paciente,Ambato
1043,10/27/2025,App Movil,Consumo elevado de datos moviles al abrir el modulo de citas,Paciente,Manta
1044,9/20/2025,App Movil,El inicio de sesion con biometria falla de forma intermitente,Paciente,Ambato
1045,3/19/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Enfermeria,Ambato
1046,12/17/2025,HCE,El sistema se congela al adjuntar resultados de laboratorio a la HCE,Enfermeria,Cuenca
1047,4/9/2025,Facturacion,Error de calculo en el copago del seguro medico,Paciente,Ambato
1048,2/3/2025,Portal Citas,Sesion expira antes de finalizar el proceso de agendamiento,Paciente,Guayaquil
1049,5/8/2025,Facturacion,Discrepancia entre el monto facturado y el detalle de servicios,Admision,Cuenca
1050,8/3/2025,Farmacia,Receta electronica llega incompleta desde el modulo de HCE,Enfermeria,Manta
1051,2/8/2025,HCE,Receta electronica se genera con la dosis incorrecta tras guardar,Enfermeria,Quito
1052,11/27/2025,HCE,Alerta de interaccion medicamentosa no se despliega correctamente,Enfermeria,Ambato
1053,2/19/2025,Telemedicina,El chat de la consulta no permite enviar imagenes,Paciente,Quito
1054,8/10/2025,Portal Citas,Notificacion de recordatorio de cita llega con la fecha incorrecta,Admision,Quito
1055,2/18/2025,Reportes Gerenciales,Discrepancia entre el reporte financiero y el modulo de facturacion,Gerencia,Guayaquil
1056,1/11/2025,Farmacia,Tiempo de respuesta del modulo de farmacia supera los 31s,Farmacia,Guayaquil
1057,4/29/2025,Portal Citas,"Formulario confuso, abandono de registro antes de completar la cita",Admision,Guayaquil
1058,4/4/2025,Reportes Gerenciales,El reporte de ocupacion hospitalaria no se actualiza automaticamente,Gerencia,Quito
1059,3/19/2025,Portal Citas,Tiempo de espera en el portal supera los 21s en horas pico,Paciente,Ambato
1060,4/5/2025,Facturacion,Error de calculo en el copago del seguro medico,Paciente,Cuenca
1061,5/15/2025,Portal Citas,Usuario no logra agendar tras 2 intentos,Paciente,Quito
1062,1/7/2025,HCE,Tiempo de carga de la ficha clinica supera los 23s en horas pico,Medico,Quito
1063,9/28/2025,Portal Citas,Error al reagendar una cita previamente confirmada,Admision,Manta
1064,4/15/2025,Farmacia,Error al registrar la dispensacion de un medicamento controlado,Farmacia,Manta
1065,9/15/2025,Imagenologia,El informe radiologico no se adjunta automaticamente a la HCE,Enfermeria,Guayaquil
1066,1/9/2025,Telemedicina,Videollamada se corta a los 4 minutos,Medico,Guayaquil
1067,12/5/2025,HCE,Orden medica no se sincroniza con el modulo de farmacia,Medico,Guayaquil
1068,4/22/2025,App Movil,Version desactualizada del app impide iniciar sesion,Paciente,Cuenca
1069,1/29/2025,Reportes Gerenciales,Discrepancia entre el reporte financiero y el modulo de facturacion,Gerencia,Quito
1070,1/30/2025,App Movil,La app no permite actualizar el numero de contacto del paciente,Paciente,Quito
1071,5/6/2025,HCE,Receta electronica se genera con la dosis incorrecta tras guardar,Enfermeria,Ambato
1072,1/3/2025,Farmacia,Alerta de vencimiento de lote no se muestra en el modulo,Farmacia,Guayaquil
1073,1/19/2025,Portal Citas,Sesion expira antes de finalizar el proceso de agendamiento,Admision,Manta
1074,7/16/2025,Imagenologia,El informe radiologico no se adjunta automaticamente a la HCE,Enfermeria,Quito
1075,1/4/2025,HCE,Orden medica no se sincroniza con el modulo de farmacia,Enfermeria,Guayaquil
1076,1/13/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Medico,Quito
1077,11/3/2025,Portal Citas,Sesion expira antes de finalizar el proceso de agendamiento,Paciente,Quito
1078,11/14/2025,Portal Citas,Filtro de especialidad medica no devuelve resultados,Admision,Cuenca
1079,9/17/2025,Telemedicina,El medico no puede compartir pantalla con resultados de examenes,Paciente,Ambato
1080,1/17/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Medico,Ambato
1081,1/27/2025,HCE,El campo de diagnostico CIE-10 no permite busqueda por texto,Enfermeria,Manta
1082,2/6/2025,Telemedicina,Videollamada se corta a los 5 minutos,Paciente,Guayaquil
1083,2/9/2025,Farmacia,El sistema no descuenta automaticamente el medicamento dispensado,Farmacia,Cuenca
1084,11/30/2025,App Movil,Resultados de examenes no se visualizan en formato PDF,Paciente,Cuenca
1085,5/29/2025,Reportes Gerenciales,El dashboard de indicadores no refleja los datos del ultimo cierre,Gerencia,Ambato
1086,12/1/2025,Farmacia,Alerta de vencimiento de lote no se muestra en el modulo,Farmacia,Quito
1087,2/2/2025,Farmacia,Alerta de vencimiento de lote no se muestra en el modulo,Enfermeria,Cuenca
1088,9/23/2025,Facturacion,Retraso de 18s al procesar el pago con tarjeta de credito,Admision,Cuenca
1089,2/14/2025,Portal Citas,"Formulario confuso, abandono de registro antes de completar la cita",Admision,Guayaquil
1090,7/19/2025,Imagenologia,Las imagenes de rayos X no cargan en el visor DICOM,Medico,Quito
1091,9/27/2025,HCE,El sistema se congela al adjuntar resultados de laboratorio a la HCE,Medico,Quito
1092,7/7/2025,Portal Citas,Tiempo de espera en el portal supera los 12s en horas pico,Admision,Quito
1093,12/16/2025,HCE,Datos de otro paciente visibles brevemente al abrir un expediente,Enfermeria,Guayaquil
1094,6/12/2025,Facturacion,El modulo de facturacion se cae durante el cierre de caja,Paciente,Cuenca
1095,7/24/2025,HCE,Consulta anterior no se muestra en el resumen de antecedentes,Enfermeria,Quito
1096,7/11/2025,HCE,Alerta de interaccion medicamentosa no se despliega correctamente,Medico,Cuenca
1097,8/9/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Enfermeria,Manta
1098,3/19/2025,Farmacia,Inventario del sistema no coincide con el stock fisico del insumo,Farmacia,Quito
1099,7/12/2025,Portal Citas,El sistema no envia la confirmacion por correo electronico,Admision,Guayaquil
1100,2/12/2025,App Movil,Version desactualizada del app impide iniciar sesion,Paciente,Ambato
1101,5/28/2025,HCE,Consulta anterior no se muestra en el resumen de antecedentes,Enfermeria,Guayaquil
1102,6/3/2025,Facturacion,El modulo de facturacion se cae durante el cierre de caja,Admision,Quito
1103,10/14/2025,Portal Citas,El portal muestra disponibilidad para un horario ya ocupado,Admision,Guayaquil
1104,9/15/2025,Telemedicina,El chat de la consulta no permite enviar imagenes,Paciente,Quito
1105,8/20/2025,Laboratorio,Retraso de 33s en la disponibilidad de resultados criticos,Medico,Guayaquil
1106,2/17/2025,Portal Citas,Cita agendada no aparece reflejada en el calendario del especialista,Paciente,Quito
1107,8/1/2025,Portal Citas,El pago del bono de consulta no se refleja tras completarlo,Admision,Quito
1108,5/24/2025,Portal Citas,El sistema no envia la confirmacion por correo electronico,Paciente,Guayaquil
1109,5/20/2025,Telemedicina,El medico no puede compartir pantalla con resultados de examenes,Medico,Quito
1110,1/13/2025,Laboratorio,Retraso de 18s en la disponibilidad de resultados criticos,Medico,Guayaquil
1111,9/9/2025,HCE,Alerta de interaccion medicamentosa no se despliega correctamente,Enfermeria,Cuenca
1112,5/9/2025,HCE,Alerta de interaccion medicamentosa no se despliega correctamente,Enfermeria,Manta
1113,10/11/2025,App Movil,Notificaciones push no llegan pese a estar activadas,Paciente,Quito
1114,6/6/2025,App Movil,Resultados de examenes no se visualizan en formato PDF,Paciente,Ambato
1115,2/7/2025,Imagenologia,Perdida de calidad en las imagenes al ser visualizadas desde la app,Enfermeria,Guayaquil
1116,10/4/2025,Portal Citas,El portal muestra disponibilidad para un horario ya ocupado,Paciente,Guayaquil
1117,9/28/2025,Portal Citas,El sistema no envia la confirmacion por correo electronico,Admision,Quito
1118,1/13/2025,HCE,El campo de diagnostico CIE-10 no permite busqueda por texto,Medico,Quito
1119,4/28/2025,HCE,Orden medica no se sincroniza con el modulo de farmacia,Enfermeria,Quito
1120,1/5/2025,Facturacion,Nota de credito no se aplica al saldo pendiente del paciente,Paciente,Cuenca
1121,4/11/2025,App Movil,Resultados de examenes no se visualizan en formato PDF,Paciente,Quito
1122,11/17/2025,HCE,Alerta de interaccion medicamentosa no se despliega correctamente,Medico,Quito
1123,1/30/2025,Facturacion,Discrepancia entre el monto facturado y el detalle de servicios,Admision,Manta
1124,11/3/2025,Imagenologia,Las imagenes de rayos X no cargan en el visor DICOM,Medico,Manta
1125,6/11/2025,HCE,Datos de otro paciente visibles brevemente al abrir un expediente,Medico,Cuenca
1126,12/2/2025,Farmacia,El sistema bloquea la dispensacion sin mostrar el motivo,Farmacia,Manta
1127,8/16/2025,Imagenologia,Perdida de calidad en las imagenes al ser visualizadas desde la app,Enfermeria,Quito
1128,3/6/2025,HCE,El sistema se congela al adjuntar resultados de laboratorio a la HCE,Medico,Quito
1129,1/27/2025,Facturacion,Reintento de transaccion genera doble cobro en la tarjeta,Admision,Guayaquil
1130,7/7/2025,Farmacia,Tiempo de respuesta del modulo de farmacia supera los 19s,Farmacia,Guayaquil
1131,11/18/2025,Farmacia,Duplicidad de codigos entre dos presentaciones distintas de un mismo farmaco,Enfermeria,Quito
1132,2/2/2025,Farmacia,Tiempo de respuesta del modulo de farmacia supera los 34s,Farmacia,Guayaquil
1133,6/22/2025,Portal Citas,El sistema no envia la confirmacion por correo electronico,Paciente,Manta
1134,1/3/2025,Imagenologia,Tiempo de carga de estudios de imagen supera los 18s,Medico,Quito
1135,8/28/2025,Farmacia,Receta electronica llega incompleta desde el modulo de HCE,Farmacia,Quito
1136,9/13/2025,Imagenologia,Perdida de calidad en las imagenes al ser visualizadas desde la app,Enfermeria,Ambato
1137,5/2/2025,HCE,Consulta anterior no se muestra en el resumen de antecedentes,Enfermeria,Ambato
1138,4/13/2025,Portal Citas,Boton de confirmar cita no responde en dispositivos moviles,Admision,Guayaquil
1139,10/11/2025,Portal Citas,"Formulario confuso, abandono de registro antes de completar la cita",Paciente,Quito
1140,11/17/2025,Facturacion,Error de calculo en el copago del seguro medico,Admision,Manta
1141,5/1/2025,HCE,El sistema no permite adjuntar imagenes de heridas desde la tablet,Medico,Guayaquil
1142,10/4/2025,HCE,Receta electronica se genera con la dosis incorrecta tras guardar,Enfermeria,Cuenca
1143,10/19/2025,App Movil,La app no permite actualizar el numero de contacto del paciente,Paciente,Ambato
1144,4/7/2025,Portal Citas,El portal muestra disponibilidad para un horario ya ocupado,Admision,Cuenca
1145,2/4/2025,Portal Citas,El pago del bono de consulta no se refleja tras completarlo,Paciente,Quito
1146,8/27/2025,Portal Citas,El portal muestra disponibilidad para un horario ya ocupado,Paciente,Guayaquil
1147,1/22/2025,Reportes Gerenciales,Discrepancia entre el reporte financiero y el modulo de facturacion,Gerencia,Quito
1148,7/11/2025,Laboratorio,Orden de laboratorio duplicada tras reintentar el envio,Enfermeria,Quito
1149,11/24/2025,Facturacion,Reintento de transaccion genera doble cobro en la tarjeta,Admision,Guayaquil
1150,1/24/2025,Telemedicina,Calidad de video muy baja pese a tener buena conexion a internet,Medico,Quito
1151,1/7/2025,HCE,El sistema no permite adjuntar imagenes de heridas desde la tablet,Enfermeria,Quito
1152,4/16/2025,App Movil,El inicio de sesion con biometria falla de forma intermitente,Paciente,Cuenca
1153,7/23/2025,HCE,El sistema se congela al adjuntar resultados de laboratorio a la HCE,Enfermeria,Guayaquil
1154,5/20/2025,Telemedicina,Audio desincronizado durante la teleconsulta,Paciente,Cuenca
1155,10/19/2025,Portal Citas,Doble reserva de un mismo cupo por dos pacientes distintos,Admision,Cuenca
1156,7/28/2025,Laboratorio,El sistema no permite adjuntar el reporte en PDF del laboratorio externo,Medico,Guayaquil
1157,2/17/2025,HCE,Datos de otro paciente visibles brevemente al abrir un expediente,Medico,Guayaquil
1158,1/28/2025,Portal Citas,Cita agendada no aparece reflejada en el calendario del especialista,Admision,Guayaquil
1159,9/17/2025,Facturacion,El sistema no permite anular una factura emitida por error,Paciente,Quito
1160,2/26/2025,HCE,Firma electronica del medico no se valida al cerrar la consulta,Enfermeria,Quito
1161,6/12/2025,Portal Citas,Tiempo de espera en el portal supera los 24s en horas pico,Paciente,Quito
1162,4/25/2025,HCE,El sistema no permite adjuntar imagenes de heridas desde la tablet,Enfermeria,Quito
1163,7/25/2025,Telemedicina,El chat de la consulta no permite enviar imagenes,Paciente,Ambato
1164,4/10/2025,Imagenologia,Las imagenes de rayos X no cargan en el visor DICOM,Medico,Guayaquil
1165,11/4/2025,HCE,Perdida de la nota de evolucion tras un cierre inesperado de sesion,Medico,Cuenca
1166,7/20/2025,Facturacion,Reintento de transaccion genera doble cobro en la tarjeta,Paciente,Cuenca
1167,11/14/2025,Telemedicina,El chat de la consulta no permite enviar imagenes,Medico,Guayaquil
1168,4/3/2025,Reportes Gerenciales,Tiempo de generacion del reporte mensual supera los 35 minutos,Gerencia,Quito
1169,7/8/2025,App Movil,El inicio de sesion con biometria falla de forma intermitente,Paciente,Quito
1170,11/23/2025,HCE,Receta electronica se genera con la dosis incorrecta tras guardar,Enfermeria,Guayaquil
1171,9/17/2025,HCE,Firma electronica del medico no se valida al cerrar la consulta,Enfermeria,Ambato
1172,3/10/2025,Laboratorio,Resultado de examen de laboratorio no se sincroniza con la HCE,Enfermeria,Quito
1173,6/30/2025,Reportes Gerenciales,Discrepancia entre el reporte financiero y el modulo de facturacion,Gerencia,Quito
1174,8/23/2025,Telemedicina,Grabacion de la consulta no se almacena correctamente,Medico,Quito
1175,7/11/2025,HCE,Historial de alergias no carga al abrir la ficha del paciente,Enfermeria,Quito
1176,6/18/2025,HCE,Receta electronica se genera con la dosis incorrecta tras guardar,Medico,Guayaquil
1177,9/30/2025,Laboratorio,El sistema no permite adjuntar el reporte en PDF del laboratorio externo,Enfermeria,Ambato
1178,10/3/2025,HCE,Duplicado de historia clinica al registrar un paciente ya existente,Enfermeria,Manta
1179,7/9/2025,Telemedicina,Calidad de video muy baja pese a tener buena conexion a internet,Medico,Cuenca
1180,4/2/2025,Telemedicina,Audio desincronizado durante la teleconsulta,Medico,Guayaquil
1181,11/25/2025,Telemedicina,El medico no puede compartir pantalla con resultados de examenes,Paciente,Quito
1182,5/30/2025,Imagenologia,Las imagenes de rayos X no cargan en el visor DICOM,Enfermeria,Cuenca
1183,9/9/2025,Telemedicina,Calidad de video muy baja pese a tener buena conexion a internet,Medico,Guayaquil
1184,2/25/2025,HCE,Nota de evolucion tarda 18s en guardarse,Medico,Quito
1185,7/8/2025,Facturacion,Reintento de transaccion genera doble cobro en la tarjeta,Admision,Guayaquil
1186,3/19/2025,Telemedicina,Videollamada se corta a los 3 minutos,Medico,Quito
1187,5/17/2025,Facturacion,Retraso de 21s al procesar el pago con tarjeta de credito,Admision,Cuenca
1188,9/24/2025,Imagenologia,Tiempo de carga de estudios de imagen supera los 28s,Medico,Cuenca
1189,10/1/2025,Farmacia,Inventario del sistema no coincide con el stock fisico del insumo,Farmacia,Quito
1190,11/11/2025,HCE,Nota de evolucion tarda 9s en guardarse,Medico,Quito
1191,11/11/2025,Facturacion,Factura generada con el nombre del paciente incorrecto,Admision,Quito
1192,9/3/2025,HCE,Receta electronica se genera con la dosis incorrecta tras guardar,Enfermeria,Quito
1193,12/3/2025,Farmacia,Duplicidad de codigos entre dos presentaciones distintas de un mismo farmaco,Farmacia,Guayaquil
1194,1/21/2025,Facturacion,Reintento de transaccion genera doble cobro en la tarjeta,Admision,Manta
1195,9/26/2025,HCE,Historial de alergias no carga al abrir la ficha del paciente,Enfermeria,Cuenca
1196,1/9/2025,Reportes Gerenciales,Discrepancia entre el reporte financiero y el modulo de facturacion,Gerencia,Cuenca
1197,6/18/2025,HCE,Orden medica no se sincroniza con el modulo de farmacia,Medico,Ambato
1198,12/8/2025,HCE,Orden medica no se sincroniza con el modulo de farmacia,Enfermeria,Guayaquil
1199,5/1/2025,App Movil,La aplicacion se cierra inesperadamente al abrir resultados de laboratorio,Paciente,Guayaquil
1200,3/30/2025,Telemedicina,La sesion se cierra automaticamente antes de terminar la consulta,Medico,Ambato
1201,3/15/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Medico,Quito
1202,1/25/2025,Farmacia,Inventario del sistema no coincide con el stock fisico del insumo,Farmacia,Quito
1203,7/17/2025,HCE,Tiempo de carga de la ficha clinica supera los 33s en horas pico,Enfermeria,Quito
1204,11/22/2025,HCE,Nota de evolucion tarda 34s en guardarse,Medico,Quito
1205,11/28/2025,HCE,Datos de otro paciente visibles brevemente al abrir un expediente,Enfermeria,Guayaquil
1206,5/13/2025,HCE,Historial de alergias no carga al abrir la ficha del paciente,Enfermeria,Guayaquil
1207,11/6/2025,Imagenologia,Tiempo de carga de estudios de imagen supera los 33s,Medico,Cuenca
1208,8/13/2025,Facturacion,Factura duplicada al reintentar pago,Paciente,Cuenca
1209,10/18/2025,Facturacion,Reembolso aprobado no se refleja en el estado de cuenta,Admision,Guayaquil
1210,1/2/2025,HCE,Historial de alergias no carga al abrir la ficha del paciente,Medico,Guayaquil
1211,9/10/2025,Facturacion,Factura duplicada al reintentar pago,Paciente,Ambato
1212,9/22/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Medico,Manta
1213,3/27/2025,Portal Citas,El portal muestra disponibilidad para un horario ya ocupado,Paciente,Quito
1214,6/18/2025,HCE,El sistema no permite adjuntar imagenes de heridas desde la tablet,Medico,Guayaquil
1215,11/28/2025,Portal Citas,Cancelacion de cita no libera el cupo en el calendario,Admision,Manta
1216,11/20/2025,HCE,El campo de diagnostico CIE-10 no permite busqueda por texto,Medico,Quito
1217,10/26/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Enfermeria,Quito
1218,8/27/2025,Portal Citas,Filtro de especialidad medica no devuelve resultados,Paciente,Ambato
1219,11/27/2025,Facturacion,El sistema no reconoce el convenio con la aseguradora,Paciente,Guayaquil
1220,11/14/2025,Laboratorio,El sistema no permite adjuntar el reporte en PDF del laboratorio externo,Enfermeria,Guayaquil
1221,9/26/2025,HCE,El sistema no permite adjuntar imagenes de heridas desde la tablet,Medico,Manta
1222,2/23/2025,Portal Citas,El portal muestra disponibilidad para un horario ya ocupado,Paciente,Guayaquil
1223,6/5/2025,HCE,Datos de otro paciente visibles brevemente al abrir un expediente,Medico,Quito
1224,4/17/2025,Farmacia,El sistema no descuenta automaticamente el medicamento dispensado,Enfermeria,Quito
1225,4/25/2025,Laboratorio,Retraso de 31s en la disponibilidad de resultados criticos,Medico,Quito
1226,7/28/2025,Facturacion,El sistema no reconoce el convenio con la aseguradora,Paciente,Guayaquil
1227,12/9/2025,HCE,El campo de diagnostico CIE-10 no permite busqueda por texto,Medico,Manta
1228,6/11/2025,Farmacia,El sistema no descuenta automaticamente el medicamento dispensado,Farmacia,Cuenca
1229,11/20/2025,Portal Citas,El portal muestra disponibilidad para un horario ya ocupado,Paciente,Manta
1230,12/13/2025,HCE,Nota de evolucion tarda 25s en guardarse,Enfermeria,Guayaquil
1231,9/9/2025,Telemedicina,Calidad de video muy baja pese a tener buena conexion a internet,Paciente,Manta
1232,4/14/2025,Laboratorio,Codigo de barras de la muestra no es reconocido por el lector,Enfermeria,Quito
1233,9/2/2025,Facturacion,Discrepancia entre el monto facturado y el detalle de servicios,Admision,Ambato
1234,12/18/2025,Facturacion,El modulo de facturacion se cae durante el cierre de caja,Paciente,Guayaquil
1235,1/30/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Medico,Cuenca
1236,8/5/2025,Portal Citas,Usuario no logra agendar tras 2 intentos,Admision,Guayaquil
1237,7/26/2025,Telemedicina,Audio desincronizado durante la teleconsulta,Medico,Guayaquil
1238,3/27/2025,Imagenologia,Perdida de calidad en las imagenes al ser visualizadas desde la app,Medico,Manta
1239,11/26/2025,HCE,Receta electronica se genera con la dosis incorrecta tras guardar,Medico,Ambato
1240,11/25/2025,Facturacion,El sistema no reconoce el convenio con la aseguradora,Admision,Ambato
1241,8/30/2025,App Movil,La app no permite actualizar el numero de contacto del paciente,Paciente,Guayaquil
1242,12/15/2025,Portal Citas,Doble reserva de un mismo cupo por dos pacientes distintos,Paciente,Quito
1243,5/7/2025,HCE,Consulta anterior no se muestra en el resumen de antecedentes,Medico,Ambato
1244,7/6/2025,Telemedicina,La sesion se cierra automaticamente antes de terminar la consulta,Medico,Guayaquil
1245,10/18/2025,HCE,Nota de evolucion tarda 35s en guardarse,Enfermeria,Ambato
1246,1/7/2025,Laboratorio,El sistema no permite adjuntar el reporte en PDF del laboratorio externo,Enfermeria,Guayaquil
1247,3/16/2025,HCE,Historial de alergias no carga al abrir la ficha del paciente,Medico,Cuenca
1248,7/27/2025,App Movil,Consumo elevado de datos moviles al abrir el modulo de citas,Paciente,Ambato
1249,9/12/2025,App Movil,Notificaciones push no llegan pese a estar activadas,Paciente,Cuenca
1250,3/3/2025,Farmacia,Tiempo de respuesta del modulo de farmacia supera los 26s,Farmacia,Cuenca
1251,1/31/2025,Portal Citas,Filtro de especialidad medica no devuelve resultados,Paciente,Ambato
1252,10/5/2025,Facturacion,Factura generada con el nombre del paciente incorrecto,Admision,Cuenca
1253,10/17/2025,Telemedicina,Calidad de video muy baja pese a tener buena conexion a internet,Paciente,Quito
1254,12/14/2025,Facturacion,Nota de credito no se aplica al saldo pendiente del paciente,Paciente,Ambato
1255,1/25/2025,HCE,Nota de evolucion tarda 28s en guardarse,Enfermeria,Cuenca
1256,3/16/2025,Farmacia,El sistema no descuenta automaticamente el medicamento dispensado,Enfermeria,Ambato
1257,7/8/2025,HCE,Perdida de la nota de evolucion tras un cierre inesperado de sesion,Enfermeria,Cuenca
1258,10/12/2025,Portal Citas,El sistema no envia la confirmacion por correo electronico,Paciente,Quito
1259,6/21/2025,HCE,Tiempo de carga de la ficha clinica supera los 21s en horas pico,Enfermeria,Quito
1260,9/11/2025,Facturacion,Nota de credito no se aplica al saldo pendiente del paciente,Paciente,Ambato
1261,11/23/2025,App Movil,La app no permite actualizar el numero de contacto del paciente,Paciente,Quito
1262,10/22/2025,HCE,Firma electronica del medico no se valida al cerrar la consulta,Medico,Guayaquil
1263,9/2/2025,HCE,Nota de evolucion tarda 35s en guardarse,Enfermeria,Quito
1264,3/18/2025,Telemedicina,El medico no puede compartir pantalla con resultados de examenes,Paciente,Ambato
1265,12/7/2025,Telemedicina,Notificacion de inicio de teleconsulta llega con retraso de 12s,Paciente,Quito
1266,3/14/2025,HCE,El sistema se congela al adjuntar resultados de laboratorio a la HCE,Medico,Guayaquil
1267,6/14/2025,App Movil,El inicio de sesion con biometria falla de forma intermitente,Paciente,Ambato
1268,3/3/2025,HCE,Firma electronica del medico no se valida al cerrar la consulta,Medico,Guayaquil
1269,1/9/2025,App Movil,Version desactualizada del app impide iniciar sesion,Paciente,Guayaquil
1270,11/27/2025,Telemedicina,La sesion se cierra automaticamente antes de terminar la consulta,Paciente,Guayaquil
1271,12/18/2025,Facturacion,El modulo de facturacion se cae durante el cierre de caja,Admision,Cuenca
1272,1/11/2025,Telemedicina,Audio desincronizado durante la teleconsulta,Paciente,Quito
1273,7/8/2025,Portal Citas,Cancelacion de cita no libera el cupo en el calendario,Paciente,Guayaquil
1274,10/14/2025,App Movil,Notificaciones push no llegan pese a estar activadas,Paciente,Cuenca
1275,1/18/2025,Farmacia,Error al registrar la dispensacion de un medicamento controlado,Enfermeria,Cuenca
1276,6/10/2025,HCE,Receta electronica se genera con la dosis incorrecta tras guardar,Medico,Ambato
1277,2/1/2025,Portal Citas,Tiempo de espera en el portal supera los 28s en horas pico,Paciente,Manta
1278,3/2/2025,Portal Citas,Cita agendada no aparece reflejada en el calendario del especialista,Admision,Guayaquil
1279,8/21/2025,Portal Citas,Doble reserva de un mismo cupo por dos pacientes distintos,Paciente,Cuenca
1280,1/9/2025,Imagenologia,Las imagenes de rayos X no cargan en el visor DICOM,Enfermeria,Quito
